scope_code,scope_name,dimension_code,dimension_name,cell_id,cell_name,plain_label,what_this_cell_measures,benefit_movement,harm_movement,indicators_evidence,gate_cues,example,reviewer_check
U1,Self,D1,Material,U1/D1,Personal Resources,personal resources,"An individual's economic security: income, savings, housing stability, and access to the material means of a decent life.","More stable income, affordable housing, reduced debt, secured access to essentials.","Job loss, eviction risk, debt spirals, loss of essential goods or services.",Evidence: income and employment records; housing stability / eviction data; debt and arrears; cost-of-living and benefit uptake,Gate classes: Ordinary welfare. Uncertainty: Standard assessment. Interpretation: Ordinary welfare in most cases; can escalate to rights-covered where a subsistence or social-minimum floor is legally recognised.,Example: A wage policy that lifts low-income workers above a local living-wage line improves U1/D1.,"Reviewer check: A reviewer checks whether the income/housing change is measured against a declared baseline cohort, not anecdote."
U1,Self,D2,Health,U1/D2,Personal Health,personal health,"The individual's physical and mental health, safety, and bodily integrity.","Lower injury/illness risk, better access to care, improved mental health, safer conditions.","Injury, illness, untreated conditions, exposure to hazards, deteriorating mental health.",Evidence: morbidity / mortality data; care access and waiting times; injury and exposure records; validated mental-health measures,Gate classes: Rights Floor; Ordinary welfare. Uncertainty: Standard assessment. Interpretation: Frequently rights-covered: bodily integrity and access-to-care floors can trigger NCRC. Severe individual harm escalates regardless of aggregate benefit.,Example: A treatment-access change that removes a barrier for a chronic-illness group improves U1/D2.,Reviewer check: A reviewer asks whether a claimed health gain rests on outcome data or only on inputs (e.g. clinics built ≠ health improved).
U1,Self,D3,Social,U1/D3,Relationships,relationships,The quality and stability of a person's close personal relationships and social connection.,"Stronger bonds, reduced isolation, more supportive networks.","Isolation, relationship breakdown, forced separation, loss of support.",Evidence: loneliness / connection surveys; support-network mapping; separation or displacement records,"Gate classes: Ordinary welfare. Uncertainty: Explicitly elevated. Interpretation: Usually ordinary welfare; measurement is often soft, so uncertainty should be marked explicitly.",Example: A relocation program that keeps support networks intact protects U1/D3.,Reviewer check: A reviewer challenges whether a relationship claim is evidenced or inferred from a proxy like attendance.
U1,Self,D4,Knowledge,U1/D4,Learning,learning,"The individual's access to education, skills, and the capacity to learn and develop.","Better access to learning, skill gains, expanded opportunity.","Lost access to education, deskilling, barriers to learning.",Evidence: enrolment and completion; skills assessments; access and dropout data,Gate classes: Ordinary welfare. Uncertainty: Standard assessment. Interpretation: Ordinary welfare; can touch rights where a basic-education entitlement exists.,Example: A reskilling program for displaced workers improves U1/D4.,Reviewer check: A reviewer asks whether learning outcomes are demonstrated or only opportunity offered.
U1,Self,D5,Agency,U1/D5,Personal Agency,autonomy,"The person's real ability to choose, refuse, consent, act, and shape their own life path.","More autonomy, better options, stronger consent, freedom from coercion and surveillance.","Coercion, manipulation, surveillance, forced dependency, loss of meaningful choice.",Evidence: consent quality; availability of alternatives / opt-out; coercion complaints; mobility and accessibility data; applicable legal protections,"Gate classes: Rights Floor; Ordinary welfare. Uncertainty: Standard assessment. Interpretation: Often rights-covered. Triggers NCRC when liberty, bodily integrity, due process, dignity, or information rights are impaired — non-compensatory regardless of welfare gains elsewhere.",Example: A transport policy that gives disabled residents reliable independent mobility improves U1/D5.,"Reviewer check: A reviewer tests whether consent was genuine and revocable, or merely formal."
U1,Self,D6,Meaning,U1/D6,Purpose,purpose,"The individual's sense of meaning, dignity, and worth in their life and work.","Greater sense of purpose, recognition, dignity, and self-respect.","Humiliation, alienation, loss of role or recognition, indignity.",Evidence: dignity / recognition measures; role and identity surveys; qualitative testimony,Gate classes: Rights Floor. Uncertainty: Explicitly elevated. Interpretation: Can be rights-covered where human dignity is implicated; otherwise ordinary. Often hard to measure — mark uncertainty.,"Example: A program that treats welfare recipients with dignified, non-stigmatising processes supports U1/D6.",Reviewer check: A reviewer distinguishes a genuine dignity effect from sentiment unsupported by experience data.
U1,Self,D7,Environment,U1/D7,Local Conditions,local conditions,"The immediate physical environment a person lives in: air, noise, water, hazards, and surroundings.","Cleaner air/water, less noise, fewer local hazards, healthier surroundings.","Pollution exposure, noise, contamination, environmental hazards near the person.",Evidence: local air/water/noise monitoring; hazard proximity; exposure records,Gate classes: Rights Floor; Ordinary welfare. Uncertainty: Standard assessment. Interpretation: Ordinary welfare; can become rights-covered under environmental-health protections and disproportionate-exposure (environmental-justice) concerns.,Example: A factory buffer-zone rule that cuts a household's pollutant exposure improves U1/D7.,"Reviewer check: A reviewer checks measured exposure change against the affected location, not a city-wide average."
U2,Household,D1,Material,U2/D1,Household Resources,household resources,"The economic security of the household unit: shared income, assets, housing, and ability to meet needs.","Improved household finances, housing security, reduced shared debt.","Household impoverishment, housing loss, debt, inability to meet needs.",Evidence: household income and assets; housing tenure; arrears and food-security data,"Gate classes: Ordinary welfare. Uncertainty: Standard assessment. Interpretation: Ordinary welfare; escalates toward rights where dependents (children, disabled members) face a subsistence floor.",Example: A childcare subsidy that frees household income improves U2/D1.,"Reviewer check: A reviewer asks whether the household, not just the earner, is the measured unit."
U2,Household,D2,Health,U2/D2,Household Health,household health,"The collective physical and mental health and safety of household members, including dependents.","Better shared health, safer home, improved care for dependents and caregivers.","Household illness, unsafe housing, caregiver burnout, harm to dependents.",Evidence: household health surveys; home-safety inspections; caregiver-strain measures; dependent outcome data,Gate classes: Rights Floor; Ordinary welfare. Uncertainty: Standard assessment. Interpretation: Frequently rights-covered where children or dependents are affected; child welfare can trigger NCRC. Caregiver harm is easily hidden — surface it.,Example: A home-care support program that reduces caregiver strain and improves a dependent's health raises U2/D2.,"Reviewer check: A reviewer checks that dependents and caregivers are scored separately, not blended into one household figure."
U2,Household,D3,Social,U2/D3,Family Cohesion,family cohesion,"The strength, stability, and supportive quality of relationships within the household.","Stronger family bonds, stability, reduced conflict, kept-together units.","Family breakdown, forced separation, household conflict, instability.",Evidence: family-stability surveys; separation / removal records; conflict indicators,"Gate classes: Rights Floor; Ordinary welfare. Uncertainty: Explicitly elevated. Interpretation: Can be rights-covered (family unity, child rights); otherwise ordinary. Measurement is soft — mark uncertainty.",Example: A policy that avoids unnecessary family separation in housing transitions protects U2/D3.,Reviewer check: A reviewer asks whether a cohesion claim rests on outcomes or on assumed effects of a program.
